geo,2010_idh,2010_quantidade_de_filhos_por_mãe,2010_porcentagem_da_populacao_com_acesso_a_saneamento_basico
Afghanistan,0.454,5.66,37.0
Albania,0.738,1.74,94.0
Algeria,0.724,2.82,95.0
Angola,0.495,6.22,58.0
Armenia,0.729,1.55,90.0
Australia,0.927,1.89,100.0
Austria,0.88,1.44,100.0
Azerbaijan,0.741,1.97,82.0
Bahamas,0.788,1.9,100.0
Bangladesh,0.545,2.28,56.0
Barbados,0.78,1.84,100.0
Belarus,0.787,1.46,93.0
Belgium,0.884,1.84,100.0
Belize,0.7,2.8,90.0
Benin,0.454,5.1,13.0
Bhutan,0.572,2.38,44.0
Bolivia,0.649,3.36,27.0
Bosnia and Herzegovina,0.711,1.24,95.0
Botswana,0.678,2.76,62.0
Brazil,0.724,1.84,79.0
Bulgaria,0.775,1.49,100.0
Burkina Faso,0.377,5.87,17.0
Burundi,0.385,6.3,46.0
Cambodia,0.533,2.97,31.0
Cameroon,0.486,5.02,49.0
Canada,0.903,1.63,100.0
Cape Verde,0.632,2.43,61.0
Central African Republic,0.361,4.63,34.0
Chad,0.37,6.6,13.0
Chile,0.82,1.86,96.0
China,0.7,1.54,64.0
Colombia,0.7,2.38,77.0
Comoros,0.479,4.92,36.0
"Congo, Dem. Rep.",0.398,6.25,24.0
"Congo, Rep.",0.558,5.07,18.0
Costa Rica,0.752,1.85,95.0
Cote d'Ivoire,0.441,4.91,24.0
Croatia,0.808,1.47,99.0
Cuba,0.78,1.47,91.0
Cyprus,0.847,1.48,100.0
Czech Republic,0.861,1.5,98.0
Denmark,0.91,1.88,100.0
Djibouti,0.451,3.6,50.0
Dominican Republic,0.703,2.58,83.0
Ecuador,0.71,2.66,92.0
Egypt,0.671,2.88,95.0
El Salvador,0.666,2.26,87.0
Estonia,0.838,1.63,95.0
Ethiopia,0.411,4.9,21.0
Fiji,0.709,2.67,83.0
Finland,0.878,1.87,100.0
France,0.882,1.98,100.0
Gabon,0.664,4.21,33.0
Gambia,0.441,5.8,68.0
Georgia,0.742,1.82,95.0
Germany,0.912,1.39,100.0
Ghana,0.554,4.05,14.0
Greece,0.86,1.5,98.0
Grenada,0.741,2.24,97.0
Guatemala,0.609,3.97,78.0
Guinea,0.385,5.17,18.0
Guinea-Bissau,0.41,5.12,20.0
Guyana,0.624,2.68,84.0
Haiti,0.47,3.35,17.0
Honduras,0.611,3.15,77.0
Hungary,0.821,1.36,100.0
Iceland,0.894,2.12,100.0
India,0.58,2.56,34.0
Indonesia,0.662,2.43,54.0
Iran,0.745,1.9,100.0
Iraq,0.649,4.21,73.0
Ireland,0.909,2.0,99.0
Israel,0.883,2.92,100.0
Jamaica,0.722,2.33,80.0
Japan,0.884,1.37,100.0
Jordan,0.737,3.46,98.0
Kazakhstan,0.766,2.54,97.0
Kenya,0.53,4.62,32.0
Kuwait,0.792,2.67,100.0
Kyrgyz Republic,0.632,2.97,93.0
Lao,0.542,3.29,63.0
Lesotho,0.469,3.21,26.0
Liberia,0.406,5.02,18.0
Libya,0.756,2.53,97.0
Luxembourg,0.894,1.64,100.0
"Macedonia, FYR",0.735,1.45,88.0
Madagascar,0.504,4.65,15.0
Malawi,0.444,5.64,51.0
Malaysia,0.774,2.0,96.0
Maldives,0.663,2.34,97.0
Mali,0.404,6.84,22.0
Malta,0.826,1.37,100.0
Mauritania,0.487,4.84,26.0
Mauritius,0.748,1.52,89.0
Mexico,0.745,2.28,85.0
Moldova,0.672,1.48,85.0
Mongolia,0.701,2.44,51.0
Montenegro,0.792,1.7,90.0
Morocco,0.612,2.58,70.0
Mozambique,0.397,5.41,18.0
Myanmar,0.526,2.0,76.0
Namibia,0.612,3.23,32.0
Nepal,0.529,2.62,31.0
Netherlands,0.911,1.8,100.0
Nicaragua,0.62,2.63,52.0
Niger,0.323,7.58,9.0
Nigeria,0.5,6.02,31.0
Norway,0.939,1.95,100.0
Oman,0.797,2.9,99.0
Pakistan,0.525,3.43,48.0
Papua New Guinea,0.494,3.95,45.0
Paraguay,0.675,2.97,71.0
Peru,0.721,2.51,71.0
Philippines,0.669,3.15,74.0
Portugal,0.818,1.33,100.0
Qatar,0.827,2.09,100.0
Russia,0.785,1.57,70.0
Rwanda,0.464,4.84,55.0
Samoa,0.693,4.34,98.0
Sao Tome and Principe,0.546,4.29,26.0
Senegal,0.455,5.05,52.0
Serbia,0.757,1.38,92.0
Sierra Leone,0.392,4.94,13.0
Singapore,0.911,1.26,100.0
Slovak Republic,0.829,1.35,100.0
Slovenia,0.876,1.48,100.0
South Africa,0.638,2.47,79.0
South Korea,0.884,1.27,100.0
Spain,0.867,1.46,100.0
Sri Lanka,0.746,2.34,92.0
St. Lucia,0.733,1.98,65.0
Sudan,0.463,4.64,26.0
Suriname,0.704,2.35,83.0
Swaziland,0.526,3.56,57.0
Sweden,0.901,1.99,100.0
Switzerland,0.932,1.5,100.0
Syria,0.646,3.08,95.0
Tajikistan,0.608,3.78,94.0
Tanzania,0.498,5.43,10.0
Thailand,0.72,1.44,96.0
Timor-Leste,0.607,6.24,47.0
Togo,0.457,4.79,13.0
Tonga,0.712,3.91,96.0
Trinidad and Tobago,0.774,1.8,92.0
Turkey,0.737,2.1,90.0
Turkmenistan,0.665,2.41,98.0
Uganda,0.477,6.16,34.0
Ukraine,0.734,1.44,94.0
United Arab Emirates,0.824,1.87,98.0
United Kingdom,0.902,1.9,100.0
United States,0.91,1.93,100.0
Uruguay,0.78,2.08,100.0
Uzbekistan,0.664,2.41,100.0
Vanuatu,0.591,3.5,57.0
Vietnam,0.655,1.82,76.0
Yemen,0.493,4.5,53.0
Zambia,0.543,5.81,48.0
Zimbabwe,0.452,3.72,40.0
